raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,65,64,63,60,56,53,49,46,42
2,69,67,65,62,58,54,51,47,43
3,73,71,68,64,60,56,52,48,44
4,76,74,71,67,62,57,53,49,45
5,80,77,73,69,64,59,55,50,46
6,83,80,76,71,66,60,56,52,46
7,87,82,78,73,67,62,57,53,47
8,90,85,81,75,69,64,58,54,48
9,93,88,83,78,71,65,60,55,49
10,96,91,86,80,73,67,61,56,50
11,99,93,88,82,75,68,62,57,51
12,101,96,91,84,77,70,64,58,52
13,104,99,93,86,78,71,65,59,53
14,107,101,95,88,80,73,66,60,53
15,109,103,97,90,82,74,68,61,54
16,112,106,100,92,84,76,69,63,55
17,114,108,102,94,86,78,70,64,56
18,116,110,104,96,88,79,72,65,57
19,119,112,106,99,90,81,73,66,58
20,121,114,108,101,91,83,75,67,59
21,123,116,110,103,93,84,76,69,60
22,125,118,112,104,95,86,78,70,61
23,127,120,114,106,97,88,79,71,62
24,129,122,116,108,99,90,81,73,63
25,130,124,118,110,101,92,82,74,64
26,130,126,120,112,103,94,84,75,65
27,130,128,121,114,105,95,86,77,66
28,130,129,123,116,107,97,88,78,67
29,130,130,125,117,109,99,90,80,69
30,130,130,126,119,111,101,92,82,70
31,130,130,128,121,112,104,94,84,71
32,130,130,130,123,114,106,96,86,73
33,130,130,130,124,116,108,98,88,74
34,130,130,130,126,118,110,101,90,76
35,130,130,130,127,120,112,104,93,77
36,130,130,130,129,122,115,107,96,79
37,130,130,130,130,123,117,111,102,101
38,130,130,130,130,125,119,116,107,101
