raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,87,82,78,73,68,63,59,55,51
2,89,84,79,74,69,64,60,57,52
3,91,86,81,76,70,66,62,58,54
4,93,87,83,77,72,67,63,59,55
5,94,89,84,79,73,69,64,60,56
6,96,91,86,81,75,70,66,62,57
7,98,93,88,82,77,72,67,63,58
8,100,95,90,84,78,73,69,64,60
9,102,97,92,86,80,75,70,66,61
10,104,99,94,88,82,76,72,67,63
11,106,101,96,90,84,78,73,69,64
12,108,103,98,92,86,80,75,71,66
13,111,105,100,94,88,82,77,73,67
14,113,107,102,96,90,84,79,74,69
15,115,110,104,98,92,86,81,77,71
16,118,112,107,101,94,89,83,79,73
17,120,115,110,104,97,91,86,81,76
18,123,117,112,106,100,94,89,84,78
19,126,120,115,109,103,97,92,88,82
20,128,123,118,113,107,101,96,92,86
21,130,126,122,116,111,106,102,98,94
22,130,130,125,121,116,112,109,107,106
23,130,130,129,125,122,120,119,117,113
24,130,130,130,130,129,128,126,123,117
25,130,130,130,130,130,130,130,127,120
