raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
1,66,61,57,53,50,47
2,67,62,58,54,51,48
3,68,63,58,55,51,48
4,68,63,59,55,52,49
5,69,64,60,56,53,50
6,70,65,60,57,53,50
7,71,66,61,57,54,51
8,72,66,62,58,54,51
9,72,67,63,59,55,52
10,73,68,63,59,56,53
11,74,69,64,60,56,53
12,75,69,65,61,57,54
13,76,70,65,61,58,54
14,77,71,66,62,58,55
15,77,72,67,63,59,56
16,78,73,68,63,60,56
17,79,73,68,64,60,57
18,80,74,69,65,61,57
19,81,75,70,65,62,58
20,81,76,71,66,62,59
21,82,76,71,67,63,59
22,83,77,72,67,63,60
23,84,78,73,68,64,61
24,85,79,73,69,65,61
25,86,79,74,69,65,62
26,86,80,75,70,66,62
27,87,81,76,71,67,63
28,88,82,76,72,67,64
29,89,83,77,72,68,64
30,90,83,78,73,69,65
31,91,84,79,74,69,65
32,91,85,79,74,70,66
33,92,86,80,75,71,67
34,93,86,81,76,71,67
35,94,87,81,76,72,68
36,95,88,82,77,73,69
37,95,89,83,78,73,69
38,96,89,84,79,74,70
39,97,90,84,79,75,71
40,98,91,85,80,75,71
41,99,92,86,81,76,72
42,100,93,87,81,77,72
43,100,93,87,82,77,73
44,101,94,88,83,78,74
45,102,95,89,83,79,74
46,103,96,90,84,79,75
47,104,97,90,85,80,76
48,105,97,91,86,81,76
49,105,98,92,86,81,77
50,106,99,93,87,82,78
51,107,100,93,88,83,78
52,108,100,94,88,83,79
53,109,101,95,89,84,80
54,110,102,96,90,85,80
55,110,103,96,91,86,81
56,111,104,97,91,86,82
57,112,104,98,92,87,82
58,113,105,99,93,88,83
59,114,106,99,94,88,84
60,115,107,100,94,89,84
61,115,108,101,95,90,85
62,116,108,102,96,91,86
63,117,109,102,97,91,86
64,118,110,103,97,92,87
65,119,111,104,98,93,88
66,120,112,105,99,93,89
67,120,112,105,100,94,89
68,121,113,106,100,95,90
69,122,114,107,101,96,91
70,123,115,108,102,96,91
71,124,116,109,103,97,92
72,125,116,109,103,98,93
73,125,117,110,104,99,94
74,126,118,111,105,99,94
75,127,119,112,106,100,95
76,128,120,113,106,101,96
77,129,120,113,107,102,97
78,130,121,114,108,102,97
79,130,122,115,109,103,98
80,130,123,116,110,104,99
81,130,124,116,110,105,100
82,130,124,117,111,106,100
83,130,125,118,112,106,101
84,130,126,119,113,107,102
85,130,127,120,113,108,103
86,130,128,121,114,109,104
87,130,128,121,115,110,104
88,130,129,122,116,110,105
89,130,130,123,117,111,106
90,130,130,124,118,112,107
91,130,130,125,118,113,108
92,130,130,125,119,114,109
93,130,130,126,120,115,109
94,130,130,127,121,115,110
95,130,130,128,122,116,111
96,130,130,129,123,117,112
97,130,130,130,123,118,113
98,130,130,130,124,119,114
99,130,130,130,125,120,115
100,130,130,130,126,121,116
101,130,130,130,127,122,117
102,130,130,130,128,123,118
103,130,130,130,129,124,119
104,130,130,130,130,124,120
105,130,130,130,130,125,121
106,130,130,130,130,126,122
107,130,130,130,130,127,123
108,130,130,130,130,128,124
109,130,130,130,130,129,125
110,130,130,130,130,130,126
111,130,130,130,130,130,127
112,130,130,130,130,130,129
113,130,130,130,130,130,130
114,130,130,130,130,130,130
115,130,130,130,130,130,130
116,130,130,130,130,130,130
117,130,130,130,130,130,130
118,130,130,130,130,130,130
119,130,130,130,130,130,130
120,130,130,130,130,130,130
