raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,71,70,69,67,66,65,63,61,60,58,56,55,53,52,51,50,49,48,47,46
1,79,78,77,75,74,73,71,69,68,66,64,63,61,60,59,58,57,56,54,53
2,86,85,84,82,81,80,78,76,75,73,71,70,68,67,66,65,64,63,61,60
3,94,93,92,90,89,88,86,84,83,81,79,78,76,75,74,73,72,70,68,67
4,102,101,99,97,96,94,92,90,89,87,85,84,83,81,80,79,78,77,75,74
5,110,110,108,106,104,102,100,98,96,95,93,92,90,89,88,87,85,84,83,82
6,117,118,116,114,112,110,108,106,104,102,100,99,97,96,95,94,92,91,90,89
7,124,125,123,121,119,117,115,113,110,108,107,105,104,102,101,100,99,97,96,96
8,130,130,130,127,125,124,121,119,117,115,113,111,110,108,107,106,105,103,102,102
9,130,130,130,130,130,130,127,125,123,121,119,117,115,114,113,112,110,109,107,107
10,130,130,130,130,130,130,130,130,128,126,124,122,121,119,118,117,115,114,113,113
11,130,130,130,130,130,130,130,130,130,130,129,127,126,124,123,122,120,119,117,117
12,130,130,130,130,130,130,130,130,130,130,130,130,130,129,128,126,125,123,122,122
13,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,128,126,126
14,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
15,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
16,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
17,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
18,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
19,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
20,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
